Date,AAPL,JNJ,JPM,XOM,AMZN,KO,NVDA,PG,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2006-01-03,2.2397353649139404,34.50450134277344,23.754627227783203,29.42670440673828,2.378999948501587,11.130607604980469,0.2920117974281311,33.32001876831055,1.5,-0.12,0.16,0.17,-0.31,0.02,1.15
2006-01-04,2.246326446533203,35.0363655090332,23.617534637451172,29.477031707763672,2.362499952316284,11.10883617401123,0.3001871705055237,33.382347106933594,0.46,0.31,0.02,-0.44,0.31,0.02,0.23
2006-01-05,2.228649377822876,34.89080047607422,23.68906021118164,29.331073760986328,2.382499933242798,11.1632661819458,0.30698642134666443,33.27466583251953,0.03,0.25,-0.1,-0.54,0.2,0.02,-0.57
2006-01-06,2.286177396774292,35.04757308959961,23.855968475341797,29.909835815429688,2.3935000896453857,11.269393920898438,0.31202900409698486,33.24064254760742,0.93,0.09,-0.25,-0.04,0.14,0.02,0.27
2006-01-09,2.2786865234375,35.26591110229492,24.243438720703125,29.89473533630371,2.3540000915527344,11.32382869720459,0.3207390010356903,33.490074157714844,0.45,0.52,-0.18,0.04,-0.05,0.02,-0.05
2006-01-10,2.422808885574341,35.32749557495117,24.279199600219727,30.126264572143555,2.2825000286102295,11.334714889526367,0.3208160102367401,33.35968780517578,0.05,0.6,0.03,-0.13,-0.1,0.02,0.43
2006-01-11,2.5138967037200928,34.9915885925293,24.26132583618164,30.33258628845215,2.246500015258789,11.340155601501465,0.3324286639690399,33.478729248046875,0.28,-0.27,-0.09,-0.36,0.13,0.02,-0.15
2006-01-12,2.525581121444702,34.829219818115234,23.814247131347656,30.015539169311523,2.2179999351501465,11.277562141418457,0.3276922106742859,33.110260009765625,-0.65,0.08,0.02,-0.15,0.08,0.02,0.02
2006-01-13,2.5645341873168945,34.61085510253906,23.79636573791504,30.684898376464844,2.2200000286102295,11.2421875,0.3247886002063751,33.388038635253906,0.16,0.16,0.09,0.02,-0.03,0.02,0.18
2006-01-17,2.5381667613983154,34.30853271484375,23.671186447143555,30.97174644470215,2.200000047683716,11.165982246398926,0.32455939054489136,33.24632263183594,-0.4,-0.25,0.19,0.41,-0.26,0.02,0.7
2006-01-18,2.4716479778289795,34.81801223754883,23.41485595703125,30.538942337036133,2.2160000801086426,11.10883617401123,0.3262399137020111,33.41719055175781,-0.35,0.39,0.28,-0.3,0.22,0.02,-0.31
2006-01-19,2.368276357650757,34.806819915771484,23.283723831176758,30.951623916625977,2.2225000858306885,11.138761520385742,0.3443473279476166,33.32605743408203,0.62,0.95,-0.1,0.01,0.13,0.02,0.44
2006-01-20,2.2798845767974854,34.039817810058594,22.681655883789062,30.463451385498047,2.196000099182129,10.910168647766113,0.3347206711769104,32.944435119628906,-1.81,0.47,0.5,0.36,0.27,0.02,0.09
2006-01-23,2.327226400375366,34.25817108154297,22.81280517578125,30.800655364990234,2.186500072479248,11.02175235748291,0.3366314470767975,32.83051300048828,0.18,0.26,0.4,0.34,-0.19,0.02,0.34
2006-01-24,2.278386354446411,33.23360061645508,22.71741485595703,30.679851531982422,2.2009999752044678,11.130607604980469,0.3383118808269501,32.961524963378906,0.45,1.03,0.07,-0.08,-0.03,0.02,0.42
2006-01-25,2.223254919052124,32.75210189819336,22.937971115112305,30.302396774291992,2.180000066757202,11.195920944213867,0.33533215522766113,33.30327224731445,-0.23,-0.01,-0.08,-0.07,-0.1,0.02,-0.7
2006-01-26,2.167224168777466,32.83050537109375,23.599645614624023,30.171545028686523,2.2339999675750732,11.2884521484375,0.34679263830184937,33.50262451171875,0.8,0.86,0.0,0.02,-0.06,0.02,0.27
2006-01-27,2.1582353115081787,32.86968994140625,23.695026397705078,30.845945358276367,2.260999917984009,11.421798706054688,0.353363573551178,34.026641845703125,0.67,-0.17,-0.18,0.07,-0.3,0.02,0.26
2006-01-30,2.247224807739258,32.69611740112305,23.754627227783203,31.761905670166016,2.247999906539917,11.36192798614502,0.3493899703025818,33.68490219116211,0.11,-0.18,0.22,0.12,-0.04,0.02,0.33
2006-01-31,2.2625069618225098,32.21464157104492,23.695026397705078,31.580726623535156,2.240999937057495,11.261237144470215,0.3435075283050537,33.73615264892578,-0.21,0.55,-0.03,-0.1,-0.33,0.02,0.26
2006-02-01,2.259810447692871,32.393798828125,23.77251434326172,31.1781063079834,2.1989998817443848,11.293889999389648,0.3437368869781494,34.07221603393555,0.14,0.09,-0.01,-0.36,0.4,0.02,-0.17
2006-02-02,2.160332441329956,32.27623748779297,23.83808135986328,31.1781063079834,2.13700008392334,11.220412254333496,0.3332692086696625,33.975379943847656,-0.88,-0.26,-0.07,0.21,0.02,0.02,-0.33
2006-02-03,2.152841567993164,32.12506866455078,23.563892364501953,30.89626693725586,1.9164999723434448,11.125164031982422,0.33632510900497437,33.99247741699219,-0.51,0.24,0.01,-0.01,-0.01,0.02,0.24
2006-02-06,2.016510009765625,31.828336715698242,23.51023292541504,31.188175201416016,1.8975000381469727,11.141493797302246,0.34579965472221375,34.05513000488281,0.1,0.39,0.51,0.32,0.02,0.02,0.51
